PLMNTPLID,1,11/06/2026,51960948302
PLMNTPLID,1,12/06/2026,51933650208
PLMNTPLID,1,13/06/2026,51906699147
PLMNTPLID,1,14/06/2026,51936359796
PLMNTPLID,1,15/06/2026,51922757520
PLMNTPLID,1,16/06/2026,51934667310
PLMNTPLID,1,17/06/2026,51903002174
PLMNTPLID,1,18/06/2026,51933764154
PLMNTPLID,1,19/06/2026,51933374971
PLMNTPLID,1,20/06/2026,51923736411
PLMNTPLID,1,21/06/2026,51908964163
PLMNTPLID,1,22/06/2026,51981560173
PLMNTPLID,1,23/06/2026,51922993254
PLMNTPLID,1,24/06/2026,51922003754
PLMNTPLID,1,25/06/2026,51970147331
PLMNTPLID,1,26/06/2026,51933061713
PLMNTPLID,1,27/06/2026,51922761427
PLMNTPLID,1,28/06/2026,51922342392
PLMNTPLID,1,29/06/2026,51924033064
PLMNTPLID,1,30/06/2026,51922766893
PLMNTPLID,1,01/07/2026,51970334609
PLMNTPLID,1,02/07/2026,51923452118
PLMNTPLID,1,03/07/2026,51923078616
PLMNTPLID,1,04/07/2026,51908529223
PLMNTPLID,1,05/07/2026,51933250120
PLMNTPLID,1,06/07/2026,51904825890
PLMNTPLID,1,07/07/2026,51981472029
PLMNTPLID,1,08/07/2026,51983514959
PLMNTPLID,1,09/07/2026,51933664507
PLMNTPLID,1,10/07/2026,51926649894
PLMNTPLID,1,11/07/2026,51922565901
PLMNTPLID,1,12/07/2026,51904201388
PLMNTPLID,1,13/07/2026,51933422333
PLMNTPLID,2,14/07/2026,51904068607
PLMNTPLID,1,15/07/2026,51922421296
PLMNTPLID,1,16/07/2026,51922017977
PLMNTPLID,1,17/07/2026,51924660689
PLMNTPLID,2,18/07/2026,51970643772
PLMNTPLID,1,19/07/2026,51904194010
PLMNTPLID,1,20/07/2026,51922015036
PLMNTPLID,1,21/07/2026,51922128962
PLMNTPLID,1,22/07/2026,51933650227
PLMNTPLID,1,23/07/2026,51946447476
PLMNTPLID,1,24/07/2026,51933445143
PLMNTPLID,1,25/07/2026,51906121608
PLMNTPLID,1,26/07/2026,51906976584
PLMNTPLID,1,27/07/2026,51908764383
PLMNTPLID,1,28/07/2026,51903345401
PLMNTPLID,2,29/07/2026,51923317482
PLMNTPLID,1,30/07/2026,51922293108
